"Step","swept-galaxy-5 - train_loss","swept-galaxy-5 - train_loss__MIN","swept-galaxy-5 - train_loss__MAX"
"12","0.03683819994330406","0.03683819994330406","0.03683819994330406"
"14","0.0982651561498642","0.0982651561498642","0.0982651561498642"
"21","0.1385035514831543","0.1385035514831543","0.1385035514831543"
"35","0.04045526683330536","0.04045526683330536","0.04045526683330536"
"36","0.10685413330793381","0.10685413330793381","0.10685413330793381"
"39","0.06575742363929749","0.06575742363929749","0.06575742363929749"
"41","0.2905981242656708","0.2905981242656708","0.2905981242656708"
"55","0.14334988594055176","0.14334988594055176","0.14334988594055176"
"56","0.07255072891712189","0.07255072891712189","0.07255072891712189"
"57","0.11381556838750839","0.11381556838750839","0.11381556838750839"
"69","0.15241225063800812","0.15241225063800812","0.15241225063800812"
"89","0.11835137754678726","0.11835137754678726","0.11835137754678726"
"93","0.07055708765983582","0.07055708765983582","0.07055708765983582"
"112","0.07244916260242462","0.07244916260242462","0.07244916260242462"
"126","0.1002429723739624","0.1002429723739624","0.1002429723739624"
"127","0.06497200578451157","0.06497200578451157","0.06497200578451157"
"138","0.04039078950881958","0.04039078950881958","0.04039078950881958"
"145","0.06002125144004822","0.06002125144004822","0.06002125144004822"
"146","0.18512754142284393","0.18512754142284393","0.18512754142284393"
"152","0.03499815985560417","0.03499815985560417","0.03499815985560417"
"177","0.15238390862941742","0.15238390862941742","0.15238390862941742"
"190","0.04616866633296013","0.04616866633296013","0.04616866633296013"
"201","0.13688121736049652","0.13688121736049652","0.13688121736049652"
"209","0.09714633226394653","0.09714633226394653","0.09714633226394653"
"240","0.04209300875663757","0.04209300875663757","0.04209300875663757"
"267","0.02565423958003521","0.02565423958003521","0.02565423958003521"
"268","0.09581281989812851","0.09581281989812851","0.09581281989812851"
"293","0.1736566573381424","0.1736566573381424","0.1736566573381424"
"294","0.15203148126602173","0.15203148126602173","0.15203148126602173"
"325","0.20081090927124023","0.20081090927124023","0.20081090927124023"
"331","0.0841648131608963","0.0841648131608963","0.0841648131608963"
"335","0.07646123319864273","0.07646123319864273","0.07646123319864273"
"337","0.1583533138036728","0.1583533138036728","0.1583533138036728"
"338","0.08073754608631134","0.08073754608631134","0.08073754608631134"
"355","0.009991980157792568","0.009991980157792568","0.009991980157792568"
"356","0.0653425008058548","0.0653425008058548","0.0653425008058548"
"364","0.07259595394134521","0.07259595394134521","0.07259595394134521"
"367","0.07668488472700119","0.07668488472700119","0.07668488472700119"
"380","0.09048821777105331","0.09048821777105331","0.09048821777105331"
"381","0.08464428037405014","0.08464428037405014","0.08464428037405014"
"383","0.1339564323425293","0.1339564323425293","0.1339564323425293"
"389","0.13565419614315033","0.13565419614315033","0.13565419614315033"
"398","0.09748641401529312","0.09748641401529312","0.09748641401529312"
"420","0.1529194712638855","0.1529194712638855","0.1529194712638855"
"429","0.18905286490917206","0.18905286490917206","0.18905286490917206"
"443","0.0237044095993042","0.0237044095993042","0.0237044095993042"
"445","0.11562857776880264","0.11562857776880264","0.11562857776880264"
"446","0.06379967927932739","0.06379967927932739","0.06379967927932739"
"454","0.028643513098359108","0.028643513098359108","0.028643513098359108"
"460","0.0853460431098938","0.0853460431098938","0.0853460431098938"
"469","0.014426718465983868","0.014426718465983868","0.014426718465983868"
"528","0.11241083592176437","0.11241083592176437","0.11241083592176437"
"549","0.2254667729139328","0.2254667729139328","0.2254667729139328"
"556","0.3283632695674896","0.3283632695674896","0.3283632695674896"
"571","0.028172964230179787","0.028172964230179787","0.028172964230179787"
"572","0.1258779615163803","0.1258779615163803","0.1258779615163803"
"573","0.242884561419487","0.242884561419487","0.242884561419487"
"574","0.10201563686132431","0.10201563686132431","0.10201563686132431"
"578","0.2280585765838623","0.2280585765838623","0.2280585765838623"
"581","0.007118257228285074","0.007118257228285074","0.007118257228285074"
"589","0.1906171441078186","0.1906171441078186","0.1906171441078186"
"603","0.20934753119945526","0.20934753119945526","0.20934753119945526"
"634","0.09728451818227768","0.09728451818227768","0.09728451818227768"
"635","0.16014818847179413","0.16014818847179413","0.16014818847179413"
"647","0.07228381931781769","0.07228381931781769","0.07228381931781769"
"651","0.21944878995418549","0.21944878995418549","0.21944878995418549"
"657","0.11561501026153564","0.11561501026153564","0.11561501026153564"
"674","0.19418542087078094","0.19418542087078094","0.19418542087078094"
"677","0.039480872452259064","0.039480872452259064","0.039480872452259064"
"682","0.09813109040260315","0.09813109040260315","0.09813109040260315"
"687","0.05158081650733948","0.05158081650733948","0.05158081650733948"
"706","0.12071108818054199","0.12071108818054199","0.12071108818054199"
"707","0.06735320389270782","0.06735320389270782","0.06735320389270782"
"715","0.13337938487529755","0.13337938487529755","0.13337938487529755"
"719","0.09589282423257828","0.09589282423257828","0.09589282423257828"
"723","0.049230512231588364","0.049230512231588364","0.049230512231588364"
"738","0.09724759310483932","0.09724759310483932","0.09724759310483932"
"739","0.07681455463171005","0.07681455463171005","0.07681455463171005"
"744","0.02606215514242649","0.02606215514242649","0.02606215514242649"
"746","0.1542259007692337","0.1542259007692337","0.1542259007692337"
"759","0.021688872948288918","0.021688872948288918","0.021688872948288918"
"770","0.1859801858663559","0.1859801858663559","0.1859801858663559"
"775","0.02322445809841156","0.02322445809841156","0.02322445809841156"
"795","0.1582004576921463","0.1582004576921463","0.1582004576921463"
"797","0.22841839492321014","0.22841839492321014","0.22841839492321014"
"804","0.0200852882117033","0.0200852882117033","0.0200852882117033"
"805","0.1348275989294052","0.1348275989294052","0.1348275989294052"
"807","0.12294759601354599","0.12294759601354599","0.12294759601354599"
"818","0.30995699763298035","0.30995699763298035","0.30995699763298035"
"819","0.2701055109500885","0.2701055109500885","0.2701055109500885"
"820","0.184124156832695","0.184124156832695","0.184124156832695"
"823","0.09007463604211807","0.09007463604211807","0.09007463604211807"
"826","0.024846041575074196","0.024846041575074196","0.024846041575074196"
"829","0.11746493726968765","0.11746493726968765","0.11746493726968765"
"830","0.0998324379324913","0.0998324379324913","0.0998324379324913"
"833","0.12728320062160492","0.12728320062160492","0.12728320062160492"
"836","0.24488221108913422","0.24488221108913422","0.24488221108913422"
"839","0.061207305639982224","0.061207305639982224","0.061207305639982224"
"853","0.14074404537677765","0.14074404537677765","0.14074404537677765"
"859","0.09191560745239258","0.09191560745239258","0.09191560745239258"
"874","0.18769077956676483","0.18769077956676483","0.18769077956676483"
"877","0.07036487013101578","0.07036487013101578","0.07036487013101578"
"881","0.22282777726650238","0.22282777726650238","0.22282777726650238"
"895","0.10827036201953888","0.10827036201953888","0.10827036201953888"
"896","0.08066803216934204","0.08066803216934204","0.08066803216934204"
"908","0.03144960477948189","0.03144960477948189","0.03144960477948189"
"915","0.12781427800655365","0.12781427800655365","0.12781427800655365"
"927","0.061103712767362595","0.061103712767362595","0.061103712767362595"
"931","0.19358722865581512","0.19358722865581512","0.19358722865581512"
"945","0.057739805430173874","0.057739805430173874","0.057739805430173874"
"948","0.22770929336547852","0.22770929336547852","0.22770929336547852"
"965","0.1631174385547638","0.1631174385547638","0.1631174385547638"
